ID,Form_ID,Cognateset_ID,Morph_Index
280,80-c785e1ed2950e3e36b1e2ca01f299a54-71463,55810,1
281,1-a57fc812a9521b8c0ede9a2724351a55-9793,55811,1
282,2-a57fc812a9521b8c0ede9a2724351a55-11313,55811,1
283,3-a57fc812a9521b8c0ede9a2724351a55-12860,55811,1
284,10-a57fc812a9521b8c0ede9a2724351a55-14901,55811,1
285,11-a57fc812a9521b8c0ede9a2724351a55-14962,55811,1
286,12-a57fc812a9521b8c0ede9a2724351a55-15022,55811,1
287,13-a57fc812a9521b8c0ede9a2724351a55-15082,55811,1
288,4-a57fc812a9521b8c0ede9a2724351a55-16028,55811,1
289,73-a57fc812a9521b8c0ede9a2724351a55-59753,55811,1
290,74-a57fc812a9521b8c0ede9a2724351a55-59957,55811,1
291,75-a57fc812a9521b8c0ede9a2724351a55-60299,55811,1
292,80-f13460bd46c28e73e8d2b6122bea2241-71448,55811,1
293,79-f13460bd46c28e73e8d2b6122bea2241-68316,55811,2
294,4-5d7d36319ea48472c1a963b9c6c2b252-16240,55812,1
295,75-5d7d36319ea48472c1a963b9c6c2b252-60300,55812,1
296,79-f60c4d399dd660cfd5b9da2e90d3bbda-68403,55812,1
297,80-f60c4d399dd660cfd5b9da2e90d3bbda-71660,55812,1
298,2-5d7d36319ea48472c1a963b9c6c2b252-11162,55812,2
299,73-5d7d36319ea48472c1a963b9c6c2b252-59754,55812,2
300,1-3ca5088d02dfb0fc668a0e2898ec3d93-10181,55814,1
301,2-3ca5088d02dfb0fc668a0e2898ec3d93-11699,55814,1
302,3-3ca5088d02dfb0fc668a0e2898ec3d93-13267,55814,1
303,4-3ca5088d02dfb0fc668a0e2898ec3d93-16222,55814,1
304,79-fb2b3d76b990ff77d0ce32cf9753466c-69361,55814,1
305,80-fb2b3d76b990ff77d0ce32cf9753466c-71642,55814,1
306,1-dce41a93f7edb175dfc59a4d52105847-9508,55815,1
307,2-dce41a93f7edb175dfc59a4d52105847-11017,55815,1
308,72-dce41a93f7edb175dfc59a4d52105847-59290,55815,1
309,1-bd352c8df49c325dd22ad8867e6ef874-10739,55816,2
310,2-bd352c8df49c325dd22ad8867e6ef874-12266,55816,2
311,4-bd352c8df49c325dd22ad8867e6ef874-15934,55816,2
312,79-b8e9c840722611595abbd153596ceac7-70370,55816,2
313,80-b8e9c840722611595abbd153596ceac7-71354,55816,2
314,1-1cbfb724ceee46cd879df7c7cfbe7dca-10633,55817,1
315,2-1cbfb724ceee46cd879df7c7cfbe7dca-12150,55817,1
316,4-1cbfb724ceee46cd879df7c7cfbe7dca-16058,55817,1
317,79-32a44c5c02252785cc88654aa968bc3a-69628,55817,1
318,80-32a44c5c02252785cc88654aa968bc3a-71478,55817,1
319,3-07c32568f84eba49f7c8c058adbb719f-13885,55817,2
320,1-67537fe8cfd8b4c8e036a19404dfba38-10673,55818,1
321,3-67537fe8cfd8b4c8e036a19404dfba38-13773,55818,1
322,4-a1d4ff44b5c98492421a029aab3eeed0-14264,55818,1
323,80-a1d4ff44b5c98492421a029aab3eeed0-71011,55818,1
324,1-48bb6e862e54f2a795ffc4e541caed4d-10787,55819,1
325,2-48bb6e862e54f2a795ffc4e541caed4d-12325,55819,1
326,4-9bb1e2ed56600b8f913207ea063751a7-16269,55819,1
327,79-683f9e32a19203434c6be37261ad8a84-69770,55819,1
328,80-683f9e32a19203434c6be37261ad8a84-71689,55819,1
329,72-9a97eda6d89f5c9e84560468a0679707-59551,55820,0
330,1-123dbde6f43c6f1e39d72ec3518eae86-9621,55820,1
331,4-a8df60873ea7c61a35d4db5641d14353-16171,55820,1
332,79-54efbf6f980abe8db9072235546ba0b5-69905,55820,1
333,80-54efbf6f980abe8db9072235546ba0b5-71591,55820,1
334,3-938c2cc0dcc05f2b68c4287040cfcf71-12487,55821,0
335,11-83e4a96aed96436c621b9809e258b309-14976,55821,0
